file_name	article_title	article_author
-interview-with-dr-anthony-fauci.html	Dr. Fauci On How The U.S. Is Doing And The Timeline For A COVID-19 Vaccine	Anna Rothschild
-you-buy-that-coronavirus-will-be-what-makes-or-breaks-trumps-re-election-prospects.html	Do You Buy That … Coronavirus Will Be What Makes Or Breaks Trump’s Re-election Prospects?	Nate Silver
-you-buy-that-mail-in-voting-will-hurt-republicans.html	Do You Buy That … Mail-In Voting Will Hurt Republicans?	Nate Silver
-you-buy-that-masks-could-help-trump-politically.html	Do You Buy That … Masks Could Help Trump Politically?	Nate Silver
-you-buy-that-voter-enthusiasm-will-help-trump-in-2020.html	Do You Buy That … Voter Enthusiasm Will Help Trump In 2020?	Nate Silver
2020-could-be-the-new-year-of-the-woman-for-the-gop.html	2020 Could Be The New Year Of The Woman … For The GOP	Meredith Conroy
america-is-testing-for-covid-19-more-than-ever-and-it-still-isnt-enough.html	America Is Testing For COVID-19 More Than Ever — And It Still Isn’t Enough	Kaleigh Rogers
americans-increasingly-dislike-how-republican-governors-are-handling-the-coronavirus-outbreak.html	Americans Increasingly Dislike How Republican Governors Are Handling The Coronavirus Outbreak	Geoffrey Skelley
americans-support-voting-by-mail-but-not-all-of-them-want-to-or-can.html	Americans Mostly Support Voting By Mail	Nathaniel Rakich
are-you-a-pinball-wizard.html	Are You A Pinball Wizard?	Zach Wissner-Gross
barcelona-is-struggling-is-messi-part-of-the-problem-or-the-solution.html	Barcelona Is Struggling. Is Messi Part Of The Problem Or The Solution?	
baseball-will-be-weird-this-year-but-the-astros-and-yankees-are-favorites-in-the-american-league-again.html	Baseball Will Be Weird This Year. But The Astros And Yankees Are Favorites In The American League … Again.	Neil Paine
bernie-williams-deserves-more-credit-for-making-the-yankees-a-dynasty.html	Bernie Williams Deserves More Credit For Making The Yankees A Dynasty	Neil Paine
bidens-polling-lead-is-big-and-steady.html	Biden’s Polling Lead Is Big — And Steady	Geoffrey Skelley
bryson-dechambeaus-power-boost-is-off-the-charts.html	Bryson DeChambeau’s Power Boost Is Off The Charts	Geoff Foster
can-the-hare-beat-the-tortoise.html	Can The Hare Beat The Tortoise?	Zach Wissner-Gross
can-you-make-24.html	Can You Make 24?	Zach Wissner-Gross
can-you-stay-in-your-lane.html	Can You Stay In Your Lane?	Zach Wissner-Gross
canceled-races-arent-stopping-endurance-athletes-from-setting-wild-new-records.html	Canceled Races Aren’t Stopping Endurance Athletes From Setting Wild New Records	Anna Wiederkehr
charles-booker-jamaal-bowman-and-the-7-competing-camps-in-black-politics.html	Charles Booker, Jamaal Bowman And The 7 Competing Camps In Black Politics	Perry Bacon Jr.
cret-trump-voters-didnt-decide-2016-and-probably-wont-swing-2020.html	Secret Trump Voters Didn’t Decide 2016 And Probably Won’t Swing 2020	Galen Druke
e-covid-19-death-rate-is-rising-americans-disagree-with-trump-on-what-to-do-about-it.html	COVID-19 Deaths Are Increasing. Americans Disagree With Trump On What To Do About It.	Galen Druke
e-supreme-court-justices-influenced-by-public-opinion.html	Are Supreme Court Justices Influenced By Public Opinion?	Galen Druke
economists-think-congress-could-create-an-economic-disaster-this-summer.html	Economists Think Congress Could Create An Economic Disaster This Summer	Amelia Thomson-DeVeaux
economists-think-congress-should-keep-paying-unemployed-workers-600-a-week-or-even-more.html	Economists Think Congress Should Keep Paying Unemployed Workers $600 A Week — Or Even More	Neil Paine
every-decision-is-a-risk-every-risk-is-a-decision.html	Every Decision Is A Risk. Every Risk Is A Decision.	Maggie Koerth
for-aspiring-performers-the-nba-is-the-best-place-to-be-a-mascot.html	For Aspiring Performers, The NBA Is The Best Place To Be A Mascot	Josh Planos
gun-sales-are-surging-but-background-checks-arent-keeping-up.html	Gun Sales Are Surging, But Background Checks Aren’t Keeping Up	Joshua Eaton
how-can-a-senator-vote-with-trump-most-of-the-time-and-still-be-a-moderate.html	How Can A Senator Vote With Trump Most Of The Time And Still Be A Moderate?	Seth Masket
how-much-talent-is-the-wnba-missing-this-season.html	How Much Talent Is The WNBA Missing This Season?	Howard Megdal
how-the-experts-are-measuring-the-economic-recovery.html	How The Experts Are Measuring The Economic Recovery	Neil Paine
how-the-nhls-new-format-changed-the-stanley-cup-race.html	How The NHL’s New Format Changed The Stanley Cup Race	Neil Paine
how-the-pandemic-could-force-a-generation-of-mothers-out-of-the-workforce.html	How The Pandemic Could Force A Generation Of Mothers Out Of The Workforce	Neil Paine
how-to-make-indoor-air-safer.html	How To Make Indoor Air Safer	Kaleigh Rogers
how-we-analyzed-7914-covid-19-testing-sites-and-found-racial-disparities.html	How We Analyzed 7,914 COVID-19 Testing Sites And Found Racial Disparities	Laura Bronner
if-talking-about-race-hurts-democrats-why-is-biden-so-far-ahead.html	How Biden Is Winning An Identity Politics Election So Far	Perry Bacon Jr.
ite-democrats-want-to-reduce-racial-inequalities-until-they-dont.html	White Democrats Want To Reduce Racial Inequalities … Until They Don’t	Galen Druke
its-harder-to-get-a-covid-19-test-if-youre-black-or-hispanic.html	It’s Harder To Get A COVID-19 Test If You’re Black Or Hispanic	Anna Rothschild
leicester-city-seemed-like-a-sure-thing-for-the-champions-league-not-anymore.html	Leicester City Seemed Like A Sure Thing For The Champions League. Not Anymore.	Terrence Doyle
lou-whitaker-turned-a-damn-good-double-play.html	Lou Whitaker Turned A Damn Good Double Play	Neil Paine
mlbs-newest-ballpark-is-a-shift-away-from-retro-era-stadiums.html	MLB’s Newest Ballpark Is A Shift Away From Retro-Era Stadiums	Travis Sawchik
nfidence-interval-could-trump-win-if-he-replaces-pence.html	Confidence Interval: Could Trump Win If He Replaces Pence?	Geoffrey Skelley
nfidence-interval-democrats-could-win-60-seats-in-the-senate.html	Confidence Interval: Democrats Could Win 60 Seats In The Senate	Nathaniel Rakich
nfidence-interval-will-biden-choose-kamala-harris-as-his-vp.html	Confidence Interval: Will Biden Choose Kamala Harris As His VP?	Nathaniel Rakich
nomar-garciaparras-full-career-wasnt-enough-for-cooperstown-but-it-was-still-damn-good.html	Nomar Garciaparra’s Full Career Wasn’t Enough For Cooperstown — But It Was Still Damn Good	Neil Paine
polls-policy-and-faqs.html	Polls Policy And FAQs	Dhrumil Mehta
republicans-and-democrats-see-covid-19-very-differently-is-that-making-people-sick.html	Republicans And Democrats See COVID-19 Very Differently. Is That Making People Sick?	Amelia Thomson-DeVeaux
roberts-is-the-new-swing-justice-that-doesnt-mean-hes-becoming-more-liberal.html	Roberts Is The New Swing Justice. That Doesn’t Mean He’s Becoming More Liberal.	Amelia Thomson-DeVeaux
the-dodgers-lead-our-national-league-predictions-but-dont-count-out-the-nats-or-reds.html	The Dodgers Lead Our National League Predictions, But Don’t Count Out The Nats Or … Reds?	Travis Sawchik
the-dodgers-legacy-may-depend-on-this-short-season.html	The Dodgers’ Legacy May Depend On This Short Season	Robert O'Connell
the-houston-dash-have-something-to-prove.html	The Houston Dash Have Something To Prove	Bria Felicien
the-nwsl-is-about-to-crown-a-brand-new-champion.html	The NWSL Is About To Crown A Brand-New Champion	Bria Felicien
the-players-to-watch-on-the-nba-teams-just-trying-to-hang-around.html	The Players To Watch On The NBA Teams Just Trying To Hang Around	Neil Paine
the-science-of-mask-wearing-hasnt-changed-so-why-have-our-expectations.html	The Science of Mask-Wearing Hasn’t Changed. So Why Have Our Expectations?	Maggie Koerth
the-senate-has-always-favored-smaller-states-it-just-didnt-help-republicans-until-now.html	The Senate Has Always Favored Smaller States. It Just Didn’t Help Republicans Until Now.	Lee Drutman
the-supreme-courts-big-rulings-were-surprisingly-mainstream-this-year.html	The Supreme Court’s Big Rulings Were Surprisingly Mainstream This Year	Amelia Thomson-DeVeaux
the-unemployment-rate-is-falling-but-more-people-are-losing-their-jobs-permanently.html	The Unemployment Rate Is Falling, But More People Are Losing Their Jobs Permanently	Amelia Thomson-DeVeaux
the-winners-and-losers-in-our-updated-nba-forecast.html	The Winners And Losers In Our Updated NBA Forecast	Neil Paine
voters-who-think-the-economy-is-the-countrys-biggest-problem-are-pretty-trumpy-that-might-not-help-him-much.html	Voters Who Think The Economy Is The Country’s Biggest Problem Are Pretty Trumpy. That Might Not Help Him Much.	Likhitha Butchireddygari
w-a-60-year-old-drug-became-our-best-hope-for-saving-people-with-covid-19.html	How A 60-Year-Old Drug Became Our Best Hope For Saving People With COVID-19	Sara Reardon
w-bidens-vp-pick-could-shape-perceptions-of-the-ticket-overall.html	How Biden’s VP Pick Could Shape Perceptions Of The Ticket Overall	Galen Druke
w-trump-could-improve-his-electoral-odds.html	How Trump Could Improve His Electoral Odds	Galen Druke
were-hiring-a-part-time-social-media-producer.html	We’re Hiring A Part-Time Social Media Producer	Meena Ganesan
were-looking-for-a-podcast-producer-for-podcast-19.html	We’re Looking For A Podcast Producer For PODCAST-19	Chadwick Matlin
were-not-going-to-see-trumps-tax-returns-anytime-soon.html	We’re Not Going To See Trump’s Tax Returns Anytime Soon	Amelia Thomson-DeVeaux
what-if-kevin-garnett-and-tracy-mcgrady-had-shot-threes-instead-of-long-twos.html	What If Kevin Garnett And Tracy McGrady Had Shot Threes Instead Of Long Twos?	Mike Prada
what-to-watch-for-on-the-english-premier-leagues-final-match-day.html	What To Watch For On The English Premier League’s Final Match Day	
what-trump-could-learn-from-nascar.html	What Trump Could Learn From NASCAR	Clare Malone
what-went-down-in-colorado-oklahoma-and-utah.html	What Went Down In Colorado, Oklahoma And Utah	Geoffrey Skelley
what-you-need-to-know-about-todays-elections-in-alabama-maine-and-texas.html	What You Need To Know About Today’s Elections In Alabama, Maine And Texas	Geoffrey Skelley
when-does-a-pandemic-start-to-erode-civil-liberties.html	When Does A Pandemic Start To Erode Civil Liberties?	Anna Rothschild
when-proof-is-not-enough.html	When Proof Is Not Enough	Mimi Onuoha
white-democrats-are-wary-of-big-ideas-to-address-racial-inequality.html	White Democrats Are Wary Of Big Ideas To Address Racial Inequality	Meredith Conroy
white-neighborhoods-have-more-access-to-covid-19-testing-sites.html	Want A COVID-19 Test? It’s Much Easier To Get In Wealthier, Whiter Neighborhoods	Soo Rin Kim
whos-who-in-the-nba-bubble-the-inner-circle-contenders.html	Who’s Who In The NBA Bubble: The Inner-Circle Contenders	Jared Dubin
whos-who-in-the-nba-bubble-the-potential-party-crashers.html	Who’s Who In The NBA Bubble: The Potential Party-Crashers	Jared Dubin
whos-who-in-the-nba-bubble-the-teams-just-along-for-the-ride.html	Who’s Who In The NBA Bubble: The Teams Just Along For The Ride	Jared Dubin
why-blaming-china-for-the-pandemic-probably-wont-help-trump-win.html	Why Blaming China For The Pandemic Probably Won’t Help Trump Win	Likhitha Butchireddygari
why-counting-on-a-convention-bounce-this-year-is-risky.html	Why Counting On A Convention Bounce This Year Is Risky	Geoffrey Skelley
why-florida-could-go-blue-in-2020.html	Why Florida Could Go Blue In 2020	Nathaniel Rakich
why-it-took-so-long-for-politicians-to-treat-the-child-care-crisis-as-a-crisis.html	Why It Took So Long For Politicians To Treat The Child Care Crisis As A Crisis	Clare Malone
why-trump-not-biden-might-have-an-enthusiasm-problem.html	Why Trump — Not Biden — Might Have An Enthusiasm Problem	Michael Tesler
will-the-mystics-repeat-will-the-storm-surge-what-to-watch-in-the-wnba-bubble.html	Will The Mystics Repeat? Will The Storm Surge? What To Watch In The WNBA Bubble.	Jenn Hatfield
winners-and-losers-in-mlbs-new-playoff-format.html	The Winners And Losers In MLB’s New Playoff Format	Neil Paine
yes-biden-has-a-big-lead-but-its-probably-not-15-points.html	Yes, Biden Has A Big Lead, But It’s Probably Not 15 Points	Nathaniel Rakich
